title,type,director,genre,release_year,rating,country
Title 1,Movie,Rajiv Sagar,Drama,2010,TV-PG,UK
Title 2,Movie,Carlos Mendez,Action,2014,R,Canada
Title 3,Movie,Sofia Laurent,Thriller,2018,TV-MA,Japan
Title 4,Movie,Carlos Mendez,Action,2019,TV-14,Canada
Title 5,Movie,Sofia Laurent,Drama,2012,TV-MA,Canada
Title 6,Movie,Meera Shah,Thriller,2021,R,Brazil
Title 7,Movie,Emma Brooks,Comedy,2012,TV-MA,Canada
Title 8,Movie,Daniel Kim,Drama,2014,TV-PG,Japan
Title 9,Movie,Emma Brooks,Action,2018,R,UK
Title 10,Movie,Ali Khan,Thriller,2019,R,Canada
Title 11,Movie,Ali Khan,Drama,2012,TV-MA,Brazil
Title 12,Movie,Carlos Mendez,Comedy,2011,TV-14,Brazil
Title 13,Movie,Emma Brooks,Action,2009,TV-PG,India
Title 14,Movie,John Price,Thriller,2011,TV-14,USA
Title 15,Movie,Carlos Mendez,Action,2008,R,Brazil
Title 16,Movie,Ali Khan,Thriller,2019,PG-13,Canada
Title 17,Movie,Yuki Tanaka,Comedy,2018,TV-14,Japan
Title 18,Movie,Yuki Tanaka,Comedy,2009,TV-14,Canada
Title 19,Movie,Emma Brooks,Comedy,2013,R,UK
Title 20,Movie,Sofia Laurent,Thriller,2008,TV-PG,UK
Title 21,Movie,Yuki Tanaka,Kids,2008,TV-PG,Japan
Title 22,Movie,Yuki Tanaka,Action,2008,PG-13,USA
Title 23,Movie,John Price,Comedy,2020,PG-13,USA
Title 24,Movie,Anita Desai,Drama,2013,TV-14,Brazil
Title 25,Movie,Daniel Kim,Kids,2017,PG-13,UK
Title 26,Movie,Ali Khan,Drama,2016,R,Brazil
Title 27,Movie,Anita Desai,Action,2021,TV-14,Canada
Title 28,Movie,John Price,Thriller,2012,TV-MA,UK
Title 29,Movie,Anita Desai,Action,2008,R,Canada
Title 30,Movie,Yuki Tanaka,Comedy,2010,PG-13,India
Title 31,Movie,Rajiv Sagar,Drama,2018,TV-14,Canada
Title 32,Movie,Emma Brooks,Comedy,2018,PG-13,UK
Title 33,Movie,Sofia Laurent,Drama,2018,TV-PG,India
Title 34,Movie,Sofia Laurent,Drama,2009,TV-PG,Brazil
